round_id,round_name,category,table,entry_name,members,nationality,status,source,source_url,snapshot_date
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,1,Alison Salvo,Alison Salvo,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,2,Allie Arendell,Allie Arendell,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,3,Anita Proom,Anita Proom,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,4,Ashley Osborne,Ashley Osborne,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,5,Audrey Grifitts,Audrey Grifitts,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,6,Brandon Harrington,Brandon Harrington,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,7,Brynn Bacon,Brynn Bacon,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,8,Carissa Byrnes,Carissa Byrnes,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,9,Caroline Orsi,Caroline Orsi,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,10,Catrina Klossner,Catrina Klossner,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,11,Connie Mak,Connie Mak,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,12,Cosmo Smith,Cosmo Smith,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,13,Danielle Berry,Danielle Berry,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,14,Destanee Reckeweg,Destanee Reckeweg,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,15,Elizabeth Faye,Elizabeth Faye,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,16,Emilee Frost,Emilee Frost,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,17,Erin Hutchison,Erin Hutchison,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,18,Feifei Xue,Feifei Xue,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
